title,description,servings,total_time_iso,ingredients,steps,tags
Rahmspinat mit Kartoffeln und Leberkäse,"Cremiger Rahmspinat mit Salzkartoffeln und angebratenem Leberkäse – schneller Familienklassiker. TM-Hinweis: Zwiebeln/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 dünsten; Spinat/Sahne 5 Min./100°C/Rührstufe. Kartoffeln separat kochen.",4 Personen,PT35M,800 g Spinat (frisch oder TK)|800 g Kartoffeln|2 Zwiebeln|2 Knoblauchzehen|200 ml Sahne|50 g Butter oder 2 EL Öl|4 Scheiben Leberkäse (ca. 400 g)|Salz|Pfeffer|Muskatnuss,"Kartoffeln schälen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|würfeln und in gesalzenem Wasser gar kochen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln und Knoblauch fein würfeln und in Butter/Öl glasig dünsten. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Spinat zugeben und zusammenfallen lassen (TK auftauen). (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sahne einrühren und mit Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer und Muskat abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Leberkäse in einer Pfanne beidseitig anbraten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Kartoffeln abgießen und mit Rahmspinat und Leberkäse servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","hausmannskost,einfach,schnell"
Gnocchi mit Pilzsahnesoße,"Gnocchi in cremiger Pilzsauce – fix auf dem Tisch. TM-Hinweis: Zwiebel/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 dünsten; Pilze 5 Sek./Stufe 4; dann Sahne/Brühe 5–6 Min./100°C/Stufe 1; Gnocchi unterheben.",4 Personen,PT20M,500 g Gnocchi (Kühlregal)|300 g Champignons (oder gemischte Pilze)|1 Zwiebel|2 Knoblauchzehen|200–250 ml Sahne|100 ml Gemüsebrühe|2 EL Butter oder Öl|1 Bund Petersilie|Salz|Pfeffer,"Gnocchi nach Packungsangabe garen und abtropfen lassen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel und Knoblauch fein hacken und in Butter/Öl anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Pilze in Scheiben schneiden und 4–5 Minuten mitdünsten. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Sahne und Brühe angießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|aufkochen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Gnocchi in die Soße geben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|kurz ziehen lassen und mit Petersilie servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","30-min,vegetarisch"
Spaghetti mit Thunfisch,"Schnelle Tomaten-Thunfisch-Soße mit Kapern zu Spaghetti. TM-Hinweis: Zwiebel/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 mit Öl; Tomaten/Kapern 6–8 Min./100°C/Stufe 1; Thunfisch am Ende unterheben.",4 Personen,PT20M,400 g Spaghetti|1 Dose Thunfisch im eigenen Saft (ca. 150 g Abtropfgewicht)|1 Zwiebel|2 Knoblauchzehen|400 g stückige Tomaten (Dose)|1 EL Tomatenmark|30–50 g Kapern|2 EL Olivenöl|Salz|Pfeffer|Chiliflocken (optional)|Petersilie (zum Bestreuen),"Spaghetti in reichlich Salzwasser al dente kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel und Knoblauch fein hacken und in Olivenöl anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Tomatenmark kurz mitrösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|stückige Tomaten zugeben und 5–7 Minuten köcheln. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Thunfisch abtropfen lassen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Kapern unterheben und würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Spaghetti abgießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit der Soße mischen und mit Petersilie servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","schnell,pasta,fisch"
Spaghetti mit Pesto,"Klassische Pesto-Pasta – wahlweise mit Basilikum- oder Rucola-Pesto. TM-Hinweis: Pesto (Basilikum, Pinienkerne, Knoblauch, Parmesan, Öl) 10 Sek./Stufe 7; ggf. wiederholen.",4 Personen,PT15M,400 g Spaghetti|120 g Pesto (Glas) oder selbstgemacht|50–100 ml Nudelwasser oder 100 ml Sahne|40 g Parmesan (zum Servieren)|Salz|Pfeffer,Spaghetti in Salzwasser al dente kochen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|etwas Kochwasser auffangen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pesto in einer Schüssel mit etwas Nudelwasser oder Sahne cremig rühren. (im TM: 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Spaghetti abgießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit dem Pesto mischen und mit Salz und Pfeffer abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit frisch geriebenem Parmesan servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).,"schnell,pasta,vegetarisch"
Spaghetti Bolognese,"Herzhafte Hackfleisch-Tomatensoße zu Spaghetti – Familienliebling. TM-Hinweis: Gemüse 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1; Tomaten & Flüssigkeit 15–20 Min./100°C/Stufe 1. Hack separat anbraten (TM6 Anbraten möglich).",4 Personen,PT40M,"400 g Spaghetti|400 g Rinderhackfleisch|1 Zwiebel|2 Knoblauchzehen|1 Karotte|1 Stange Staudensellerie|400 g gehackte Tomaten (Dose)|2 EL Tomatenmark|100 ml Rotwein oder Brühe|2 EL Öl|Italienische Kräuter (z. B. Oregano, Basilikum)|Salz|Pfeffer","Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Karotte und Sellerie fein würfeln und in Öl anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Hackfleisch zugeben und krümelig braun anbraten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomatenmark kurz mitrösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|mit Rotwein/Brühe ablöschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Tomaten zugeben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|20–30 Minuten sanft köcheln lassen (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Kräutern (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz und Pfeffer abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Spaghetti kochen und mit der Bolognese servieren. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).","pasta,klassiker"
Spaghetti Carbonara,"Cremige Carbonara mit Speck und Käse – ohne Sahne. TM-Hinweis: Eier/Käse im Mixtopf verrühren; unter die heißen, nicht mehr kochenden Spaghetti ziehen.",4 Personen,PT20M,400 g Spaghetti|150 g Speckwürfel oder Pancetta|3 Eier (Größe M)|50 g Parmesan oder Pecorino (frisch gerieben)|1 kleine Zwiebel (optional)|Salz|Pfeffer|Muskatnuss (optional),"Spaghetti in Salzwasser al dente kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Speck (und Zwiebel) in einer Pfanne knusprig braten. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Eier mit Käse verquirlen und mit Pfeffer würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Spaghetti abgießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|heiß zum Speck geben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfanne vom Herd ziehen und Eiermischung zügig unterheben. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sofort servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","pasta,schnell"
Rotes Gemüse-Curry,"Aromatisches rotes Curry mit Süßkartoffel, Zucchini, Möhren und Paprika. TM-Hinweis: Zwiebel/Knoblauch/Ingwer 5 Sek./Stufe 5, 3 Min./120°C; Curry-Paste zugeben, Gemüse + Kokosmilch 15 Min./100°C/Stufe 1.",4 Personen,PT30M,1 große Süßkartoffel (ca. 400 g)|2 Möhren|1 Zucchini|1 rote Paprika|1 Zwiebel|1 Knoblauchzehe|2 cm Stück Ingwer|2 EL rote Currypaste|1 Dose Kokosmilch (400 ml)|1 EL Öl|Salz|Pfeffer|Frische Kräuter (Koriander/Basilikum)|Basmatireis (als Beilage),"Reis nach Packungsangabe kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Knoblauch und Ingwer fein hacken und in Öl anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Currypaste einrühren und kurz mitrösten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Gemüse in mundgerechte Stücke schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|zugeben und 2–3 Minuten anbraten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Kokosmilch angießen und 15–20 Minuten köcheln (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|bis das Gemüse weich ist (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit frischen Kräutern bestreut servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","vegetarisch,vegan-möglich,curry,30-min"
Selbstgemachtes Sushi,"Maki und Co. zuhause rollen – mit gewürztem Sushi-Reis, Nori und Lieblingsfüllungen. TM-Hinweis: Reis im Mixtopf garen; Essigmischung im Mixtopf rühren.",4 Personen,PT50M,"300 g Sushi-Reis|400 ml Wasser|5 EL Reisessig|2 EL Zucker|1 TL Salz|Nori-Blätter|Belag nach Wahl (z. B. Avocado, Gurke, Räucherlachs oder roher Fisch in Sushi-Qualität)|Sojasoße|Wasabi|eingelegter Ingwer","Sushi-Reis gründlich waschen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|bis das Wasser klar ist. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Wasser garen und anschließend 10 Minuten quellen lassen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Reisessig mit Zucker und Salz erwärmen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|bis sich der Zucker löst (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|unter den Reis heben und abkühlen lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Nori-Blätter mit Reis belegen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Füllung auflegen und mit der Bambusmatte eng aufrollen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Rollen in Stücke schneiden und mit Sojasoße (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Wasabi und Ingwer servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","fingerfood,familienaktion"
Käsespätzle,"Spätzle mit geschmolzenem Bergkäse und Röstzwiebeln – deftiges Wohlfühlessen. TM-Hinweis: Teig 1 Min./Stufe 4; Zwiebeln 5 Sek./Stufe 5, dann anbraten.",4 Personen,PT45M,400 g Spätzlemehl (oder Weizenmehl 405)|4 Eier|200–250 ml Wasser|1 TL Salz|200–250 g Bergkäse oder Emmentaler (gerieben)|2 Zwiebeln|2 EL Butter|Pfeffer,"Mehl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Eier (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Wasser und Salz zu einem zähflüssigen Teig verrühren und 10 Minuten ruhen lassen. (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|Teig durch Spätzlehobel in kochendes Salzwasser drücken (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen; 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|wenn die Spätzle oben schwimmen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|herausnehmen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln in Ringe schneiden und in Butter goldbraun braten. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Spätzle und Käse in Pfanne oder Auflaufform schichten und schmelzen lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Röstzwiebeln und Pfeffer servieren. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).","vegetarisch,klassiker,hausmannskost"
Tiroler Gröstl,"Knusprige Pfanne aus Kartoffeln, Fleisch und Zwiebeln – ideal zur Resteverwertung. TM-Hinweis: Kartoffeln im Mixtopf garen; fürs Knusprige Pfanne nutzen.",4 Personen,PT40M,600 g gekochte Kartoffeln (vom Vortag)|300 g Fleischwürfel (z. B. Rind oder Schwein)|2 Zwiebeln|2 EL Öl oder Butterschmalz|1 TL Paprika edelsüß|Salz|Pfeffer|Petersilie (zum Bestreuen)|4 Eier (optional als Spiegeleier),"Kartoffeln in Scheiben schneiden. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Zwiebeln in Ringe schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Fleisch würfeln. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Öl/Schmalz erhitzen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln und Fleisch kräftig anbraten. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Kartoffeln zugeben und knusprig braten (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|mit Paprika (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz und Pfeffer würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Petersilie bestreuen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|nach Wunsch Spiegeleier dazu servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","pfannengericht,restekueche,deftig"
