slug,title,description,servings,total_time_iso,ingredients_pipe_separated,steps_pipe_separated,tags_comma_separated
rahmspinat-mit-kartoffeln-und-leberkase,Rahmspinat mit Kartoffeln und Leberkäse,"Cremiger Rahmspinat mit Salzkartoffeln und angebratenem Leberkäse – schneller Familienklassiker. TM-Hinweis: Zwiebeln/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 dünsten; Spinat/Sahne 5 Min./100°C/Rührstufe. Kartoffeln separat kochen.",4 Personen,PT35M,,,
gnocchi-mit-pilzsahnesosse,Gnocchi mit Pilzsahnesoße,"Gnocchi in cremiger Pilzsauce – fix auf dem Tisch. TM-Hinweis: Zwiebel/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 dünsten; Pilze 5 Sek./Stufe 4; dann Sahne/Brühe 5–6 Min./100°C/Stufe 1; Gnocchi unterheben.",4 Personen,PT20M,,,
spaghetti-mit-thunfisch,Spaghetti mit Thunfisch,"Schnelle Tomaten-Thunfisch-Soße mit Kapern zu Spaghetti. TM-Hinweis: Zwiebel/Knoblauch 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1 mit Öl; Tomaten/Kapern 6–8 Min./100°C/Stufe 1; Thunfisch am Ende unterheben.",4 Personen,PT20M,,,
spaghetti-mit-pesto,Spaghetti mit Pesto,"Klassische Pesto-Pasta – wahlweise mit Basilikum- oder Rucola-Pesto. TM-Hinweis: Pesto (Basilikum, Pinienkerne, Knoblauch, Parmesan, Öl) 10 Sek./Stufe 7; ggf. wiederholen.",4 Personen,PT15M,,,
spaghetti-bolognese,Spaghetti Bolognese,"Herzhafte Hackfleisch-Tomatensoße zu Spaghetti – Familienliebling. TM-Hinweis: Gemüse 5 Sek./Stufe 5, 3 Min./120°C/Stufe 1; Tomaten & Flüssigkeit 15–20 Min./100°C/Stufe 1. Hack separat anbraten (TM6 Anbraten möglich).",4 Personen,PT40M,,,
spaghetti-carbonara,Spaghetti Carbonara,"Cremige Carbonara mit Speck und Käse – ohne Sahne. TM-Hinweis: Eier/Käse im Mixtopf verrühren; unter die heißen, nicht mehr kochenden Spaghetti ziehen.",4 Personen,PT20M,,,
rotes-gemuse-curry,Rotes Gemüse-Curry,"Aromatisches rotes Curry mit Süßkartoffel, Zucchini, Möhren und Paprika. TM-Hinweis: Zwiebel/Knoblauch/Ingwer 5 Sek./Stufe 5, 3 Min./120°C; Curry-Paste zugeben, Gemüse + Kokosmilch 15 Min./100°C/Stufe 1.",4 Personen,PT30M,,,
selbstgemachtes-sushi,Selbstgemachtes Sushi,"Maki und Co. zuhause rollen – mit gewürztem Sushi-Reis, Nori und Lieblingsfüllungen. TM-Hinweis: Reis im Mixtopf garen; Essigmischung im Mixtopf rühren.",4 Personen,PT50M,,,
kasespatzle,Käsespätzle,"Spätzle mit geschmolzenem Bergkäse und Röstzwiebeln – deftiges Wohlfühlessen. TM-Hinweis: Teig 1 Min./Stufe 4; Zwiebeln 5 Sek./Stufe 5, dann anbraten.",4 Personen,PT45M,,,
tiroler-grostl,Tiroler Gröstl,"Knusprige Pfanne aus Kartoffeln, Fleisch und Zwiebeln – ideal zur Resteverwertung. TM-Hinweis: Kartoffeln im Mixtopf garen; fürs Knusprige Pfanne nutzen.",4 Personen,PT40M,,,
palatschinken,Palatschinken,"Dünne Eierkuchen/Crêpes aus der Pfanne. TM-Hinweis: Teig 20 Sek./Stufe 5, 30 Min. ruhen lassen.",4 Personen,PT25M,,,
kaiserschmarren,Kaiserschmarren,"Locker-leichter, zerrupfter Pfannkuchen mit Rosinen. TM-Hinweis: Teig 20 Sek./Stufe 4; Eischnee separat oder mit Schmetterling schlagen.",4 Personen,PT30M,,,
burrito-bowl,Burrito Bowl,"Reis-Bowl mit Bohnen, Mais, Avocado, Hähnchen oder vegetarisch. TM-Hinweis: Reis im Garkorb/Varoma garen, Salsa im Mixtopf zerkleinern.",4 Personen,PT35M,,,
poke-bowl,Poké Bowl,"Reis-Bowl hawaiianischer Art mit mariniertem Lachs/Thunfisch oder vegan. TM-Hinweis: Reis im Garkorb, Marinade 5 Sek./Stufe 5 mischen.",4 Personen,PT35M,,,
lasagne,Lasagne,Klassische Lasagne mit Bolognese und Béchamelsauce. TM-Hinweis: Bolo und Béchamel jeweils im Mixtopf kochen; Schichten im Ofen.,4 Personen,PT1H0M,,,
spitzkohl-hackfleischpfanne,Spitzkohl-Hackfleischpfanne,"Schnelle Pfanne mit Spitzkohl und Hack. TM-Hinweis: Kohl im Mixtopf 4–5 Sek./Stufe 4 zerkleinern, Hack separat anbraten.",4 Personen,PT25M,,,
omas-mohreneintopf,Omas Möhreneintopf,Klassischer Karotten-Kartoffel-Eintopf. TM-Hinweis: Gemüse 5 Sek./Stufe 5; dann 25 Min./100°C/Rührstufe mit Brühe garen.,4 Personen,PT40M,,,
pad-thai,Pad Thai,"Reisnudeln mit Ei, Tofu/Huhn, Sprossen, Erdnüssen. TM-Hinweis: Sauce 5 Sek./Stufe 5 mischen; Nudeln separat.",4 Personen,PT30M,,,
kartoffelgulasch,Kartoffelgulasch,"Deftiger Eintopf mit Kartoffeln, Paprika und Würstchen optional. TM-Hinweis: Zwiebeln/Paprika 5 Sek./Stufe 5, 25–30 Min./100°C garen.",4 Personen,PT45M,,,
frikadellen-mit-kartoffelbrei-und-sosse,Frikadellen mit Kartoffelbrei und Soße,"Klassiker: saftige Buletten, cremiges Püree, schnelle Bratensoße. TM-Hinweis: Püree im Mixtopf (Kartoffeln garen, dann Milch/Butter untermixen).",4 Personen,PT50M,,,
nudelpilzpfanne,Nudelpilzpfanne,"Schnelle Pasta-Pfanne mit Pilzen und Kräutern. TM-Hinweis: Pilze 4 Sek./Stufe 4, Sauce 8–10 Min./100°C; Nudeln separat.",4 Personen,PT25M,,,
rinderbraten-mit-rotkohl-und-knodel,Rinderbraten mit Rotkohl und Knödel,Sonntagsklassiker. TM-Hinweis: Rotkohl im Mixtopf garen; Knödel separat; Bratensoße im Mixtopf ziehen.,4 Personen,PT3H0M,,,
pilmeni-pierogi-rindfleisch-pfanne,Pilmeni-Pierogi-Rindfleisch-Pfanne,"Pfanne mit russischen/osteuropäischen Teigtaschen (Pilmeni/Pierogi) und Rindfleisch-Zwiebel-Mix. TM-Hinweis: Zwiebeln 5 Sek./Stufe 5, Pfanne zum Braten.",4 Personen,PT25M,,,
knodel-mit-schwammerlsosse,Knödel mit Schwammerlsoße,Semmelknödel mit cremiger Pilzrahmsoße. TM-Hinweis: Soße im Mixtopf; Knödel im Varoma dämpfen.,4 Personen,PT30M,,,
selbstgemachte-schnitzel,Selbstgemachte Schnitzel,"Paniertes Schweine- oder Kalbsschnitzel, goldgelb ausgebacken. TM-Hinweis: Panade-Zutaten im Mixtopf zerkleinern/mischen.",4 Personen,PT25M,,,
gefullte-zucchini,Gefüllte Zucchini,Mit Hackreis-Füllung und Käse überbacken. TM-Hinweis: Füllung im Mixtopf zerkleinern/mischen.,4 Personen,PT45M,,,
moussaka,Moussaka,"Griechischer Auflauf mit Auberginen, Hack und Béchamel. TM-Hinweis: Bolo & Béchamel im Mixtopf, Auberginen im Ofen vorbacken.",4 Personen,PT1H15M,,,
kreative-burger,Kreative Burger,"Selbstgemachte Burger-Patties mit variablen Toppings (Cheddar, Bacon, Avocado, etc.). TM-Hinweis: Pattie-Masse kurz mischen; Saucen im Mixtopf.",4 Personen,PT25M,,,
bruschetta,Bruschetta,Geröstetes Brot mit Tomaten-Knoblauch-Belag. TM-Hinweis: Tomatenwürfel & Marinade 3–4 Sek./Stufe 4 mischen.,4 Personen,PT15M,,,
selbstgemachte-pizza,Selbstgemachte Pizza,Einfacher Pizzateig mit Tomatensauce und Wunschbelag. TM-Hinweis: Teig 2 Min./Knetstufe; Sauce 5 Sek./Stufe 5.,4 Personen,PT1H30M,,,
sommerrollen,Sommerrollen,"Frische Reispapierrollen mit Gemüse, Kräutern und ggf. Garnelen/Tofu. TM-Hinweis: Erdnusssauce 5 Sek./Stufe 5 mischen.",4 Personen,PT30M,,,
selbstgemachter-flammkuchen,Selbstgemachter Flammkuchen,"Knuspriger Teig mit Schmand, Zwiebeln, Speck oder vegetarisch. TM-Hinweis: Teig 2 Min./Knetstufe.",4 Personen,PT35M,,,
kohlrouladen,Kohlrouladen,Mit Hack gefüllte Weißkohlblätter in Tomatensoße. TM-Hinweis: Füllung im Mixtopf mischen; Soße im Mixtopf.,4 Personen,PT1H10M,,,
kartoffelgratin,Kartoffelgratin,Cremiges Gratin mit Sahne und Käse. TM-Hinweis: Sahne-Mischung im Mixtopf erhitzen; Kartoffeln hobeln.,4 Personen,PT1H10M,,,
