slug,title,description,servings,total_time_iso,ingredients_pipe_separated,steps_pipe_separated,tags_comma_separated
rahmspinat-mit-kartoffeln-und-leberkase,Rahmspinat mit Kartoffeln und Leberkäse,Cremiger Rahmspinat mit Salzkartoffeln und angebratenem Leberkäse – schneller Familienklassiker.,4 Portionen,PT35M,800 g Spinat (frisch oder TK)|800 g Kartoffeln|2 Zwiebeln|2 Knoblauchzehen|200 ml Sahne|50 g Butter oder 2 EL Öl|4 Scheiben Leberkäse (ca. 400 g)|Salz|Pfeffer|Muskatnuss,"Kartoffeln schälen, würfeln und in gesalzenem Wasser gar kochen.|Zwiebeln und Knoblauch fein würfeln und in Butter/Öl glasig dünsten.|Spinat zugeben und zusammenfallen lassen (TK auftauen).|Sahne einrühren und mit Salz, Pfeffer und Muskat abschmecken.|Leberkäse in einer Pfanne beidseitig anbraten.|Kartoffeln abgießen und mit Rahmspinat und Leberkäse servieren.","hausmannskost,einfach,schnell"
gnocchi-mit-pilzsahnesosse,Gnocchi mit Pilzsahnesoße,Gnocchi in cremiger Pilzsauce – fix auf dem Tisch.,4 Portionen,PT20M,500 g Gnocchi (Kühlregal)|300 g Champignons (oder gemischte Pilze)|1 Zwiebel|2 Knoblauchzehen|200–250 ml Sahne|100 ml Gemüsebrühe|2 EL Butter oder Öl|1 Bund Petersilie|Salz|Pfeffer,"Gnocchi nach Packungsangabe garen und abtropfen lassen.|Zwiebel und Knoblauch fein hacken und in Butter/Öl anschwitzen.|Pilze in Scheiben schneiden und 4–5 Minuten mitdünsten.|Sahne und Brühe angießen, aufkochen, würzen.|Gnocchi in die Soße geben, kurz ziehen lassen und mit Petersilie servieren.","30-min,vegetarisch"
spaghetti-mit-thunfisch,Spaghetti mit Thunfisch,Schnelle Tomaten-Thunfisch-Soße mit Kapern zu Spaghetti.,4 Portionen,PT20M,400 g Spaghetti|1 Dose Thunfisch im eigenen Saft (ca. 150 g Abtropfgewicht)|1 Zwiebel|2 Knoblauchzehen|400 g stückige Tomaten (Dose)|1 EL Tomatenmark|30–50 g Kapern|2 EL Olivenöl|Salz|Pfeffer|Chiliflocken (optional)|Petersilie (zum Bestreuen),"Spaghetti in reichlich Salzwasser al dente kochen.|Zwiebel und Knoblauch fein hacken und in Olivenöl anschwitzen.|Tomatenmark kurz mitrösten, stückige Tomaten zugeben und 5–7 Minuten köcheln.|Thunfisch abtropfen lassen, mit Kapern unterheben und würzen.|Spaghetti abgießen, mit der Soße mischen und mit Petersilie servieren.","schnell,pasta,fisch"
spaghetti-mit-pesto,Spaghetti mit Pesto,Klassische Pesto-Pasta – wahlweise mit Basilikum- oder Rucola-Pesto.,4 Portionen,PT15M,400 g Spaghetti|120 g Pesto (Glas) oder selbstgemacht|50–100 ml Nudelwasser oder 100 ml Sahne|40 g Parmesan (zum Servieren)|Salz|Pfeffer,"Spaghetti in Salzwasser al dente kochen, etwas Kochwasser auffangen.|Pesto in einer Schüssel mit etwas Nudelwasser oder Sahne cremig rühren.|Spaghetti abgießen, mit dem Pesto mischen und mit Salz und Pfeffer abschmecken.|Mit frisch geriebenem Parmesan servieren.","schnell,pasta,vegetarisch"
spaghetti-bolognese,Spaghetti Bolognese,Herzhafte Hackfleisch-Tomatensoße zu Spaghetti – Familienliebling.,4 Portionen,PT40M,"400 g Spaghetti|400 g Rinderhackfleisch|1 Zwiebel|2 Knoblauchzehen|1 Karotte|1 Stange Staudensellerie|400 g gehackte Tomaten (Dose)|2 EL Tomatenmark|100 ml Rotwein oder Brühe|2 EL Öl|Italienische Kräuter (z. B. Oregano, Basilikum)|Salz|Pfeffer","Zwiebel, Knoblauch, Karotte und Sellerie fein würfeln und in Öl anschwitzen.|Hackfleisch zugeben und krümelig braun anbraten.|Tomatenmark kurz mitrösten, mit Rotwein/Brühe ablöschen, Tomaten zugeben.|20–30 Minuten sanft köcheln lassen, mit Kräutern, Salz und Pfeffer abschmecken.|Spaghetti kochen und mit der Bolognese servieren.","pasta,klassiker"
spaghetti-carbonara,Spaghetti Carbonara,Cremige Carbonara mit Speck und Käse – ohne Sahne.,4 Portionen,PT20M,400 g Spaghetti|150 g Speckwürfel oder Pancetta|3 Eier (Größe M)|50 g Parmesan oder Pecorino (frisch gerieben)|1 kleine Zwiebel (optional)|Salz|Pfeffer|Muskatnuss (optional),"Spaghetti in Salzwasser al dente kochen.|Speck (und Zwiebel) in einer Pfanne knusprig braten.|Eier mit Käse verquirlen und mit Pfeffer würzen.|Spaghetti abgießen, heiß zum Speck geben, Pfanne vom Herd ziehen und Eiermischung zügig unterheben.|Sofort servieren.","pasta,schnell"
rotes-gemuse-curry,Rotes Gemüse-Curry,"Aromatisches rotes Curry mit Süßkartoffel, Zucchini, Möhren und Paprika.",4 Portionen,PT30M,1 große Süßkartoffel (ca. 400 g)|2 Möhren|1 Zucchini|1 rote Paprika|1 Zwiebel|1 Knoblauchzehe|2 cm Stück Ingwer|2 EL rote Currypaste|1 Dose Kokosmilch (400 ml)|1 EL Öl|Salz|Pfeffer|Frische Kräuter (Koriander/Basilikum)|Basmatireis (als Beilage),"Reis nach Packungsangabe kochen.|Zwiebel, Knoblauch und Ingwer fein hacken und in Öl anschwitzen.|Currypaste einrühren und kurz mitrösten.|Gemüse in mundgerechte Stücke schneiden, zugeben und 2–3 Minuten anbraten.|Kokosmilch angießen und 15–20 Minuten köcheln, bis das Gemüse weich ist; abschmecken.|Mit frischen Kräutern bestreut servieren.","vegetarisch,vegan-möglich,curry,30-min"
selbstgemachtes-sushi,Selbstgemachtes Sushi,"Maki und Co. zuhause rollen – mit gewürztem Sushi-Reis, Nori und Lieblingsfüllungen.",4 Portionen,PT50M,"300 g Sushi-Reis|400 ml Wasser|5 EL Reisessig|2 EL Zucker|1 TL Salz|Nori-Blätter|Belag nach Wahl (z. B. Avocado, Gurke, Räucherlachs oder roher Fisch in Sushi-Qualität)|Sojasoße, Wasabi, eingelegter Ingwer","Sushi-Reis gründlich waschen, bis das Wasser klar ist.|Mit Wasser garen und anschließend 10 Minuten quellen lassen.|Reisessig mit Zucker und Salz erwärmen, bis sich der Zucker löst; unter den Reis heben und abkühlen lassen.|Nori-Blätter mit Reis belegen, Füllung auflegen und mit der Bambusmatte eng aufrollen.|Rollen in Stücke schneiden und mit Sojasoße, Wasabi und Ingwer servieren.","fingerfood,familienaktion"
kasespatzle,Käsespätzle,Spätzle mit geschmolzenem Bergkäse und Röstzwiebeln – deftiges Wohlfühlessen.,4 Portionen,PT45M,400 g Spätzlemehl (oder Weizenmehl 405)|4 Eier|200–250 ml Wasser|1 TL Salz|200–250 g Bergkäse oder Emmentaler (gerieben)|2 Zwiebeln|2 EL Butter|Pfeffer,"Mehl, Eier, Wasser und Salz zu einem zähflüssigen Teig verrühren und 10 Minuten ruhen lassen.|Teig durch Spätzlehobel in kochendes Salzwasser drücken; wenn die Spätzle oben schwimmen, herausnehmen.|Zwiebeln in Ringe schneiden und in Butter goldbraun braten.|Spätzle und Käse in Pfanne oder Auflaufform schichten und schmelzen lassen.|Mit Röstzwiebeln und Pfeffer servieren.","vegetarisch,klassiker,hausmannskost"
tiroler-grostl,Tiroler Gröstl,"Knusprige Pfanne aus Kartoffeln, Fleisch und Zwiebeln – ideal zur Resteverwertung.",4 Portionen,PT40M,600 g gekochte Kartoffeln (vom Vortag)|300 g Fleischwürfel (z. B. Rind oder Schwein)|2 Zwiebeln|2 EL Öl oder Butterschmalz|1 TL Paprika edelsüß|Salz|Pfeffer|Petersilie (zum Bestreuen)|4 Eier (optional als Spiegeleier),"Kartoffeln in Scheiben schneiden.|Zwiebeln in Ringe schneiden, Fleisch würfeln.|Öl/Schmalz erhitzen, Zwiebeln und Fleisch kräftig anbraten.|Kartoffeln zugeben und knusprig braten; mit Paprika, Salz und Pfeffer würzen.|Mit Petersilie bestreuen; nach Wunsch Spiegeleier dazu servieren.","pfannengericht,restekueche,deftig"
